felt:feature,felt:has_geometry,felt:h3_index,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,geometry,intersects
916,True,,916,141952,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2014.0,TENNESSEE VALLEY AUTHORITY,-999999.0,100-161,Y,TAP154387,TAP154390,13976.7852742901,"MULTILINESTRING ((-87.0012381 34.79063580000008, -87.00169409999997 34.79065460000005, -87.00242549999992 34.79068000000005, -87.00306420000001 34.790701600000006, -87.00496569999997 34.79073660000004, -87.0059525 34.79075550000006, -87.00667169999993 34.790778400000086, -87.0077325 34.790805400000046, -87.00836959999995 34.79081750000007, -87.00907239999997 34.79084450000006, -87.00969309999992 34.790848600000075, -87.01045169999995 34.79085530000001, -87.01125299999994 34.79086880000002, -87.01204929999994 34.79088230000009, -87.01285999999996 34.79090160000007, -87.01367679999998 34.79091950000003, -87.01444029999998 34.79094580000004, -87.01507859999994 34.790950200000026, -87.01565489999999 34.79096770000008, -87.01648409999994 34.79098120000006, -87.01709499999998 34.79098660000004, -87.01780929999995 34.79099740000004, -87.01869100000002 34.791014900000036, -87.01943649999996 34.79103790000006, -87.0203133 34.791068900000035, -87.02102099999995 34.79107430000001, -87.02184529999994 34.79107700000007, -87.02267129999997 34.791079700000104, -87.02341839999997 34.79108910000007, -87.02411950000001 34.79108910000007, -87.02500949999995 34.791079700000104, -87.02588719999994 34.791083300000025, -87.02677059999999 34.79109140000005, -87.02768029999994 34.79109410000005, -87.02849969999997 34.79103740000003, -87.02930589999991 34.79105630000002, -87.03018269999994 34.79106170000009, -87.03108259999999 34.79108730000008, -87.03194719999998 34.791100700000065, -87.03376369999994 34.791199500000076, -87.03474589999995 34.79126240000005, -87.03575359999994 34.79132960000005, -87.03671749999998 34.79138900000005, -87.03756309999993 34.79139070000005, -87.03832229999992 34.79139890000002, -87.03951359999999 34.79140370000003, -87.040151 34.791410400000075, -87.04098 34.791419000000076, -87.04194599999995 34.79142560000004, -87.04295969999998 34.791430400000046, -87.04365859999992 34.791440900000005, -87.04435759999998 34.79144470000008, -87.04501239999996 34.791441799999994, -87.04572529999999 34.79144850000004, -87.04635929999996 34.79145420000003, -87.04727769999992 34.79146280000003, -87.04820309999994 34.791475200000015, -87.04908549999996 34.791474300000026, -87.04998999999994 34.791482800000054, -87.05089799999995 34.791488600000044, -87.05176199999998 34.791495300000044, -87.05265689999996 34.79150340000003, -87.05355679999992 34.791488600000044, -87.05433999999993 34.791500700000014, -87.05515769999992 34.79150610000005, -87.05574389999998 34.79151560000002, -87.05656159999997 34.79152900000005, -87.05734819999998 34.79153980000005, -87.0581347 34.79153850000002, -87.0591363 34.79153980000005, -87.06017079999997 34.79155330000006, -87.06112639999995 34.79154520000004, -87.06212640000001 34.7915439000001, -87.0630377999999 34.79155470000006, -87.06404919999994 34.79155600000006, -87.06495399999994 34.79155740000003, -87.06594900000003 34.79156890000004, -87.06676339999991 34.79157300000003, -87.06759429999993 34.791567600000015, -87.06815089999996 34.791567600000015, -87.06873879999988 34.79151230000007, -87.06935619999993 34.79144890000004, -87.0700227999999 34.79130460000001, -87.07070099999994 34.79116570000004, -87.07117709999997 34.79104440000004, -87.07201129999999 34.79082590000007, -87.07272389999997 34.79063310000004, -87.07339709999998 34.7904632, -87.0740621999999 34.79031620000006, -87.07488809999994 34.790138200000065, -87.07557279999997 34.79012740000005, -87.07622309999995 34.79011800000008, -87.07700959999995 34.79012870000005, -87.0778420999999 34.790159799999984, -87.07868439999994 34.790186700000085, -87.07953990000001 34.79020700000007, -87.08039209999995 34.79023120000006, -87.08119339999995 34.79024740000004, -87.08200789999994 34.79027570000008, -87.08280920000001 34.790302700000034, -87.08361049999998 34.79032560000009, -87.08441509999996 34.79034850000005, -87.08509979999998 34.79036740000005, -87.08594869999996 34.79038770000003, -87.08680749999992 34.790425400000046, -87.08765479999994 34.79044699999999, -87.0885398 34.7905104000001, -87.089438 34.790577800000065, -87.09018999999994 34.79068700000001, -87.09086489999997 34.7907828, -87.09176469999993 34.79094190000007, -87.092704 34.79111990000011, -87.09361199999991 34.79128300000005, -87.09449379999998 34.79144080000002, -87.09542969999994 34.79162420000002, -87.09638090000001 34.791790600000084, -87.09723799999993 34.791950600000035, -87.09814539999998 34.79211890000005, -87.09994340000002 34.792383200000096, -87.10083339999996 34.79247350000004, -87.10178259999994 34.792558000000064, -87.10266739999999 34.79265150000002, -87.10316429999995 34.79272579999999, -87.10364329999994 34.79278940000009, -87.10403239999997 34.79286490000003, -87.10473539999998 34.793016100000024, -87.10507279999996 34.7931065000001, -87.10577229999996 34.79329030000005, -87.10639439999993 34.79345120000006, -87.10720609999997 34.793658500000035, -87.10805609999991 34.793868300000014, -87.10894199999998 34.7941029, -87.10973609999999 34.794303600000006, -87.11057909999992 34.794520100000035, -87.11140459999991 34.79473459999999, -87.11191779999996 34.79484040000006, -87.11242079999997 34.79494980000003, -87.11301439999993 34.795001000000084, -87.11390109999996 34.79508470000009, -87.11476149999996 34.795162900000015, -87.11533459999995 34.79518440000003, -87.11590109999999 34.795197900000076, -87.11663509999997 34.79521410000008, -87.11742649999992 34.79524110000006, -87.11803569999992 34.79525589999999, -87.11858909999997 34.795272100000034, -87.11902909999996 34.79527880000003, -87.11964819999997 34.79530040000002, -87.12045279999995 34.79532060000003, -87.12134599999997 34.79534760000009, -87.12218099999997 34.795364600000056, -87.12301399999996 34.795386000000065, -87.12300849999994 34.79614760000005, -87.12300179999994 34.79692320000003, -87.12300079999996 34.797709300000065))",True
1025,True,,1025,142079,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,BROWNS FERRY,TRINITY,21631.8950108734,"MULTILINESTRING ((-87.05506218100003 34.60872575800007, -87.053738218 34.608853523, -87.05383343699997 34.60906290000003, -87.05658576800003 34.610177934999975, -87.05873260000004 34.61000550000009, -87.06106099999991 34.611356800000095, -87.06383975399991 34.613129445000006, -87.06644234699999 34.61483418500005, -87.06960824099994 34.61690564600006, -87.071468481 34.61814119600007, -87.07615539999992 34.62344250000005, -87.07820986999992 34.62875964500003, -87.07818399999998 34.63311100000005, -87.07818799999995 34.63398280000008, -87.07819249999996 34.63493370000007, -87.07819859999992 34.63626110000008, -87.078206 34.63784270000009, -87.07821649999988 34.64010460000006, -87.0781587689999 34.650077195000016, -87.07813024699998 34.65268154400003, -87.07818372499999 34.65903272400005, -87.07147402599995 34.68430358300001, -87.07012400599994 34.68864232699999, -87.07008597699999 34.69082334000002, -87.07008597699999 34.69420809400005, -87.07010499099992 34.700422238000016, -87.07011449799992 34.708793006000064, -87.07015252699998 34.71092659600002, -87.08175129799999 34.71340399200007, -87.08638129899997 34.71439649300004, -87.09307435999989 34.71441993800006, -87.09840789299992 34.714435567000045, -87.09926354000001 34.714881016000035, -87.10671717599993 34.71492790600005, -87.1125165619999 34.71146584600007, -87.11450356399995 34.70862497400003, -87.11593439599994 34.7089923, -87.11678619999998 34.708077700000025, -87.118016471 34.70690164600001, -87.1183437029999 34.70654634900004, -87.11705751299992 34.70520874500008))",True
1045,True,,1045,142099,OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014.0,IMAGERY,2014.0,NOT AVAILABLE,-999999.0,100-161,Y,TAP149927,TAP149928,6698.86396855609,"MULTILINESTRING ((-87.317299679 34.63534306800006, -87.30306474299996 34.63200357799999, -87.29453798199991 34.630023434000044, -87.286118178 34.627984570000024, -87.27957010199997 34.62636615500001, -87.26972421899997 34.62376000200006, -87.26182730999996 34.62170142500005, -87.26160745599995 34.61983839300003))",True
1195,True,,1195,142296,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",2014.0,IMAGERY,2015.0,NOT AVAILABLE,161.0,100-161,N,WHEELER DAM,TAP155252,14454.8922297475,"MULTILINESTRING ((-87.38353289799991 34.79672158799999, -87.38376728699993 34.79651603100008, -87.38365699999996 34.79576590000006, -87.38384901199998 34.79410810900002, -87.38448599400003 34.794092494, -87.38480448499992 34.79837668300009, -87.38538349999999 34.8048123, -87.38621630199998 34.81427795600004, -87.38334989999997 34.816008500000095, -87.3814992 34.817076600000036, -87.37831779999996 34.81891270000008, -87.37348549999997 34.819305300000075, -87.36957570000001 34.82067820000006, -87.36599749999989 34.821920800000015, -87.36446329999993 34.822452000000055, -87.36188559999992 34.82336410000005, -87.3606463 34.82380260000009, -87.35850479999996 34.82456029999998, -87.3570846 34.82506290000006, -87.35575269999997 34.825534100000006, -87.35463550000001 34.825929400000035, -87.35270129999995 34.82661380000005, -87.35117249999999 34.82715470000008, -87.34945929999995 34.82776090000003, -87.34769299999995 34.82838580000006, -87.34622719999999 34.82890440000005, -87.34466629999997 34.829456700000065, -87.34281769999997 34.83011080000002, -87.3413017 34.83064710000004, -87.3389607999999 34.83147540000005, -87.33720399999994 34.83209690000005, -87.33593589999998 34.83254550000005, -87.33461239999994 34.83301380000004, -87.3328468999999 34.83373870000004, -87.33083409999998 34.83456520000006, -87.32808949999999 34.835692100000074, -87.32367499999997 34.83750460000001, -87.3218864 34.83823900000004, -87.32062319999989 34.83853880000006, -87.31462839999998 34.83996180000002, -87.31363329999996 34.84019790000008, -87.31194189999992 34.8405994, -87.31023119999993 34.841005400000014, -87.30321829999997 34.842670000000076, -87.300111 34.84340750000005, -87.29793679999993 34.843930100000065, -87.29627959999996 34.84432840000002, -87.29429150000001 34.84480630000011, -87.29290407199993 34.845133243000085))",True
1298,True,,1298,142416,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,SHOALS,TUSCUMBIA,5517.45301997238,"MULTILINESTRING ((-87.67152539899999 34.76042565400007, -87.67226814799993 34.7605281670001, -87.67298439699991 34.76061281600006, -87.67495796499995 34.75874991300005, -87.67723246499997 34.756678513000075, -87.67908856499994 34.75492431300002, -87.67910996499992 34.75291451200006, -87.67913686499999 34.75044851200003, -87.67914216499999 34.74795161200005, -87.67916366499996 34.74526281100002, -87.67916036499996 34.74375311100006, -87.67915796499993 34.74266871100005, -87.67915296499997 34.740369811000015, -87.67915296499997 34.73757501100005, -87.67915296499997 34.73495641000001, -87.67915296499997 34.73224081000003, -87.67915296499997 34.729913010000054, -87.67916323699997 34.72723579400006, -87.67915610699998 34.72451071900009, -87.67921726499999 34.72366120900006, -87.67998883599999 34.7238638090001))",True
2077,True,,2077,143366,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",2014.0,IMAGERY,2016.0,NOT AVAILABLE,161.0,100-161,N,STATELINE,CHEROKEE,68488.7507861499,"MULTILINESTRING ((-88.17971261099997 34.32528448800007, -88.17961170200002 34.32553068800011, -88.17887382899993 34.32607046200004, -88.17834422599995 34.327218186000046, -88.17565197999996 34.33122464400004, -88.17355867899994 34.33394880300005, -88.17213669099998 34.33641214700002, -88.17155149599992 34.33728917600007, -88.17065819999999 34.338847400000056, -88.16831929999996 34.34277190000006, -88.16494509999991 34.348644900000046, -88.16290660000001 34.35218350000003, -88.16173179999996 34.354211900000045, -88.16027269999994 34.356691900000065, -88.15882429999998 34.359171900000064, -88.15671609999998 34.36219640000005, -88.15474729999993 34.36499060000008, -88.15326680000001 34.367116100000025, -88.15098149999993 34.370321900000086, -88.14825099999993 34.37420060000005, -88.14701189999994 34.3759583, -88.1440722 34.38009350000004, -88.14245209999994 34.38245320000003, -88.140292871 34.38627497600005, -88.13858439999994 34.389350500000035, -88.13793959999998 34.39055300000005, -88.13609529999998 34.39374180000006, -88.13509719199993 34.395481512000075, -88.13394950000001 34.39759720000006, -88.13288729999994 34.399288100000014, -88.13018197499991 34.403498650000046, -88.12596078300004 34.41009926900002, -88.12214839999994 34.416009185000036, -88.12010419999993 34.419230800000015, -88.11829798899997 34.42200102900005, -88.11612559599999 34.42535360800009, -88.11365655299997 34.429273484000106, -88.11140355299996 34.432653883000036, -88.10956088199994 34.4354066170001, -88.10690769999995 34.43923050000008, -88.10323849999995 34.44461010000001, -88.0997516 34.44956430000004, -88.09741269999998 34.4529616, -88.09573529999994 34.45536440000008, -88.09448889999999 34.45714190000007, -88.09268649999994 34.459729400000064, -88.08802479999994 34.46639920000004, -88.07718329999992 34.48126270000002, -88.07497850000001 34.484243000000056, -88.07250019999995 34.48760350000005, -88.07081039999997 34.4899027000001, -88.06846609999994 34.492940200000064, -88.05821469999994 34.50666290000003, -88.05701839999999 34.508303000000026, -88.05443279999994 34.51170670000004, -88.05397679999996 34.51241390000004, -88.05184709999997 34.51514120000007, -88.04882699999992 34.51933140000004, -88.04692259999999 34.52182860000006, -88.04479830000001 34.524851700000006, -88.03986328199996 34.53145213599999, -88.03596849999998 34.53686790000007, -88.0331307 34.54073000000005, -88.0312961 34.543204500000044, -88.02720839999996 34.54874090000003, -88.02553469999997 34.55101190000005, -88.02378049999997 34.553327, -88.02149529999997 34.55646820000005, -88.0186414 34.56036040000005, -88.01720369999995 34.56226440000005, -88.01564269999993 34.56438930000003, -88.0120861 34.56929260000001, -88.01056259999993 34.57132450000002, -88.00782669999995 34.57508790000004, -88.00623889999996 34.57719470000008, -88.0047797 34.57923530000003, -88.00238179999994 34.58257870000001, -87.99574041799998 34.59159709500003, -87.99225127899994 34.596457212000054, -87.98411059999997 34.607758200000056, -87.98263075199998 34.609798955, -87.97620889999999 34.61865430000009, -87.9717080999999 34.62491840000009, -87.96679969999998 34.631716199999985, -87.95794934099997 34.64386951500008, -87.95127499999997 34.65317410000005, -87.94867329999995 34.656757300000024, -87.94698239999998 34.65903600000005, -87.94261709999996 34.66506140000009, -87.94025679999997 34.66829550000005, -87.93816999999996 34.67114120000005, -87.93649629999996 34.67347060000003, -87.93502109999993 34.67552200000007, -87.93226379999997 34.679258600000004, -87.93079399999995 34.68133640000006, -87.9285515999999 34.684406600000024, -87.92701199999995 34.68656800000011, -87.9252096 34.68896760000007, -87.92109509999992 34.69466630000004, -87.9194320999999 34.69698180000007, -87.91785499999997 34.69919150000003, -87.91604179999996 34.701656800000066, -87.9136278 34.70495120000001, -87.91143909999991 34.70799850000002, -87.91000679999993 34.70997850000001, -87.90697589999998 34.71368260000005, -87.90441709999999 34.71677370000007, -87.90272199999995 34.718802000000046, -87.90036699999993 34.72172100000008, -87.89897760000001 34.72337880000004, -87.895818 34.72541570000004, -87.89286749999997 34.72730720000003, -87.88713829999998 34.730997300000055, -87.8840645 34.73300320000005, -87.88046499999999 34.73532210000004, -87.87792759999999 34.73700609999999, -87.87509181099996 34.73865383600005, -87.8697206 34.73908590000012, -87.86571229999996 34.73936810000003, -87.86197459999994 34.73963120000006, -87.85932949999992 34.7398174, -87.85572091299994 34.74025540900003, -87.85464541299993 34.74124661100006, -87.8528093369999 34.74231592400003, -87.85158455299992 34.74330353900006, -87.85096675599996 34.74306594800001))",True
2227,True,,2227,143542,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,WOODMONT,TAP154396,71.0618964819683,"MULTILINESTRING ((-87.67890297799993 34.70894970100007, -87.67826462199997 34.70895153000002))",True
2637,True,,2637,144049,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,UNKNOWN114488,TAP155271,878.263334173688,"MULTILINESTRING ((-87.01560719699998 34.62791399700003, -87.01561453699998 34.631493413, -87.01559314599994 34.632649216000054, -87.01723313599997 34.63266681700002, -87.01756826399998 34.632966032000084))",True
3081,True,,3081,144663,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,UNKNOWN114957,TAP154397,851.059781730253,"MULTILINESTRING ((-87.89576355699998 34.764164678000036, -87.89559578099997 34.76453895400007, -87.89502534999997 34.76513643099998, -87.89592377899996 34.76781916400006, -87.89461178699999 34.76928350100007, -87.89409126899997 34.76958222200004))",True
3190,True,,3190,144802,AC; OVERHEAD,IN SERVICE,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, EIA 861",2014.0,IMAGERY,2017.0,TENNESSEE VALLEY AUTHORITY,161.0,100-161,Y,MORGAN ENERGY CENTER,TRINITY,5834.57611930229,"MULTILINESTRING ((-87.063975628 34.63879888300002, -87.06432979599994 34.638475769000046, -87.06429134499994 34.637161124000016, -87.06436264899995 34.63367234500001, -87.06950128499992 34.63370363500009, -87.06951079199992 34.63278839400007, -87.06945850199995 34.62879484900004, -87.06663962100002 34.627930403000015, -87.06671092499991 34.62338115700006, -87.06681550399993 34.62032210800004, -87.06682501099995 34.61777542300007, -87.0668773 34.61533428700003, -87.06251350099994 34.61251359100002, -87.06094006099988 34.61145727200007, -87.0586630889999 34.61020923399999, -87.05611991599987 34.61049483700006, -87.05470461499998 34.61002795200006, -87.05423506299998 34.60901448800008, -87.05506218100003 34.60872575800007))",True
