iteration,best_blackout_risk,best_brownout_risk,reward
99,0,0,-35.03871692843459
99,0,0,-219.73963178389442
99,0,0,-219.69292092663312
99,0,0,-24.098135524483443
99,0,0,-219.11449084344196
99,0,0,-26.389572383183648
99,0,0,-326.6003262579078
99,0,0,-28.622257469623055
99,0,0,-20.578877734595697
99,0,0,-221.3046578264636
99,0,0,-224.39865632653914
99,0,0,-215.53013452214458
99,0,0,-25.410531504029066
99,0,0,1466.594705224741
99,0,0,-220.1014780257375
99,0,0,-217.30834945078252
99,0,0,-216.08487333860845
99,0,0,-22.412759310395263
99,0,0,-220.45963107948617
99,0,0,-221.7991697567634
99,0,0,-38.73825033901844
99,0,0,-222.3840057860933
99,0,0,-216.03797973568354
99,0,0,-212.6448420600411
99,0,0,-213.83439394608996
99,0,0,-213.64039313204074
99,0,0,-350.9343397066898
99,0,0,-219.39603337397523
99,0,0,-217.9877910819042
99,0,0,-209.78994076696233
99,0,0,-213.5856334429032
99,0,0,-23.31936213243823
99,0,0,-218.44806162914975
99,0,0,-220.71479683276843
99,0,0,-216.06020965202322
99,0,0,-215.11403014062046
99,0,0,-211.8760311785081
99,0,0,-222.08886365197753
99,0,0,-219.41663764645958
99,0,0,-215.8487183991634
99,0,0,1473.0193515205658
99,0,0,-221.4095557042932
99,0,0,-213.62209899096035
99,0,0,-213.2216221728518
99,0,0,-216.29808646320072
99,0,0,-213.0759071944775
99,0,0,-214.5893200077702
99,0,0,-216.35241463072487
99,0,0,-210.9520229195086
99,0,0,-34.06424705557506
99,0,0,-30.22934935805416
99,0,0,-217.918323618221
99,0,0,-220.3073664744685
99,0,0,-211.11724017894542
99,0,0,-220.5974094149248
99,0,0,-217.70419494030673
99,0,0,-27.0997565417537
99,0,0,-212.23344281357515
99,0,0,-214.99617466624392
99,0,0,-219.64589690546117
99,0,0,-219.96960725342825
99,0,0,-214.75720331661145
99,0,0,-219.1598366648901
99,0,0,-209.9596004216583
99,0,0,-49.697056334228286
99,0,0,-214.41716528578854
99,0,0,-215.65132502729014
99,0,0,-209.98470935261906
99,0,0,-21.33865562507475
99,0,0,-221.23179165808023
99,0,0,-213.10399412477506
99,0,0,-295.5459234224177
99,0,0,-215.5938443617677
99,0,0,-212.48183995411938
99,0,0,-211.23056117838007
99,0,0,-209.86054339378128
99,0,0,-211.65129855276538
99,0,0,-214.56725496569433
99,0,0,-217.36839526551668
99,0,0,-210.77288620209723
99,0,0,-265.689976404322
99,0,0,-215.34118221304348
99,0,0,-208.95870662327252
99,0,0,-211.48792574624053
99,0,0,-213.62844164152298
99,0,0,-25.464189267569722
99,0,0,-220.9583634567838
99,0,0,-212.70467575709515
99,0,0,-212.26981801734328
99,0,0,-219.74959764303975
99,0,0,-212.57730542236493
99,0,0,-211.36273100886032
99,0,0,1469.3077571586673
99,0,0,-213.7191642924322
99,0,0,-214.23412783881884
99,0,0,-214.10594697032963
99,0,0,-214.33356683534925
99,0,0,-216.0405371229551
99,0,0,-218.37750194105345
99,0,0,-27.43766533578861
99,0,0,-226.13263950463204
99,0,0,-215.7148048539747
99,0,0,-216.6531862610081
99,0,0,-40.04316603540223
99,0,0,-220.53344477921712
99,0,0,-213.19296477365197
99,0,0,-215.17074552679367
99,0,0,1473.329813960584
99,0,0,-220.44797477717955
99,0,0,-213.8466978100275
99,0,0,-267.56809889282505
99,0,0,-213.2449428491982
99,0,0,-216.67044005016106
99,0,0,-213.60161523219034
99,0,0,-215.98550145899134
99,0,0,-216.29626790871706
99,0,0,-221.32821472668206
99,0,0,-214.40111007673525
99,0,0,-209.16352335465342
99,0,0,-218.04005642469693
99,0,0,-215.81977056684045
99,0,0,-219.5359585106862
99,0,0,-214.62672255107196
99,0,0,-213.14013488607276
99,0,0,-213.55707196917805
99,0,0,-212.912782366352
99,0,0,-215.5112488161184
99,0,0,-217.8316630775407
99,0,0,-214.32843831200654
99,0,0,-21.185846179263187
99,0,0,-34.6404380535243
99,0,0,-212.35355841773804
99,0,0,-211.5830013187993
99,0,0,-295.1315459640557
99,0,0,-208.1533002850533
99,0,0,-212.8166981948287
99,0,0,-222.2496229167256
99,0,0,-30.271140976034875
99,0,0,-214.85133388975348
99,0,0,-213.38923548940275
99,0,0,-47.088322599579634
99,0,0,-227.5241655648062
99,0,0,-23.492540860169026
99,0,0,-212.71947246277134
99,0,0,-21.019870329961325
99,0,0,-216.0114353726656
99,0,0,-225.87787785185864
99,0,0,-25.01754058670902
99,0,0,-209.81042252499094
99,0,0,-222.98029498140326
99,0,0,-214.40377427741788
99,0,0,-222.64131561443983
99,0,0,-226.29872386573447
99,0,0,-27.204250354394283
99,0,0,-214.10641680158184
99,0,0,-219.65446468488665
99,0,0,-226.4039526978322
99,0,0,-217.23156313050637
99,0,0,-212.402515990838
99,0,0,-214.29872552208454
99,0,0,-215.8218421840869
99,0,0,-216.87780589297148
99,0,0,-220.0692081319367
99,0,0,-214.55982083861025
99,0,0,-220.13950484572766
99,0,0,-212.56538129555318
99,0,0,-215.6897198726361
99,0,0,-218.14238394542912
99,0,0,-213.97019939292142
99,0,0,-214.39356919303748
99,0,0,-218.89663853485922
99,0,0,-218.6316297502378
99,0,0,-28.10198787671411
99,0,0,-229.22448626884898
99,0,0,-221.78295143711148
99,0,0,-215.14723647266965
99,0,0,-216.58758445246352
99,0,0,-215.2025614992201
99,0,0,973.0256792017701
99,0,0,-218.37656796101973
99,0,0,-219.20662152236747
99,0,0,-214.88672167060378
99,0,0,-216.15692340191796
99,0,0,-228.08930476621364
99,0,0,-213.18789945271251
99,0,0,-213.16394782205475
99,0,0,-26.295072630410676
99,0,0,-220.00104438786659
99,0,0,-219.4327830392926
99,0,0,-227.66073116257022
99,0,0,-224.72315769471746
99,0,0,-225.9401381035224
99,0,0,-217.08695595158173
99,0,0,-228.37133194812407
99,0,0,-221.57161540758142
99,0,0,-215.48955919340048
99,0,0,-28.84650819237549
99,0,0,-215.40891654748165
99,0,0,-227.1720118522725
99,0,0,-219.64105795773014
99,0,0,-218.9843107347965
99,0,0,-220.80257313109
99,0,0,-210.28780307549277
99,0,0,-224.66706420635705
99,0,0,-220.12590597423855
99,0,0,1470.948187033689
99,0,0,-30.13711680550093
99,0,0,-221.91646039324388
99,0,0,-221.93354767249684
99,0,0,-227.27744521426376
99,0,0,-20.468889345366346
99,0,0,-227.5526772453685
99,0,0,-301.7225459692715
99,0,0,-223.58453166799183
99,0,0,-220.36244269422295
99,0,0,-24.141999444367762
99,0,0,-224.89114078980444
99,0,0,-220.2925201391171
99,0,0,-24.186277513644384
99,0,0,-223.20967353735824
99,0,0,-212.60956031467683
99,0,0,-215.3776256253522
99,0,0,-213.1198869050935
99,0,0,-49.963642553752486
99,0,0,-221.0014767098526
99,0,0,-214.25332248846294
99,0,0,-218.25470086033852
99,0,0,-221.96010974429143
99,0,0,-216.91369066731556
99,0,0,-220.96552294692577
99,0,0,-216.01056323416339
99,0,0,-30.582704808653997
99,0,0,-40.72467545455696
99,0,0,1468.0671964065937
99,0,0,1472.0653900282273
99,0,0,-222.42874184431452
99,0,0,1469.9668773809628
99,0,0,-29.662923023415797
99,0,0,-210.74239699172807
99,0,0,-223.08082043761087
99,0,0,-22.791563748839227
99,0,0,-218.3204612105287
99,0,0,-217.12446334820564
99,0,0,-219.51228158415552
99,0,0,-216.55387124826427
99,0,0,-223.24154155539196
99,0,0,-43.533484317525634
99,0,0,-23.39045206722198
99,0,0,-227.6426795070446
99,0,0,-219.39581859704418
99,0,0,-212.21754357056665
99,0,0,-213.6774421529876
99,0,0,-225.4056921338185
99,0,0,-27.002254394808258
99,0,0,-29.476740615630412
99,0,0,973.8162868681665
99,0,0,-30.000426858656002
99,0,0,-210.93486172905028
99,0,0,1473.400401411044
99,0,0,-27.993163992187522
99,0,0,-26.175759482809262
99,0,0,-274.13509484465925
99,0,0,-22.7745764144856
99,0,0,-216.60595857178282
99,0,0,-28.370702346092447
99,0,0,-23.605215603964716
99,0,0,-228.426209980056
99,0,0,-218.65048096143425
99,0,0,-220.33830580739638
99,0,0,-217.57261970156452
